team,year,rank,class,
Washington Capitals,2018,1,1,
Vegas Golden Knights,2018,2,2,
Winnipeg Jets,2018,3,3,
Tampa Bay Lightning,2018,4,3, 
Nashville Predators,2018,5,4,
San Jose Sharks,2018,6,4, 
Boston Bruins,2018,7,4,
Pittsburgh Penguins,2018,8,4,
Philadelphia Flyers,2018,9,5,
Toronto Maple Leafs,2018,10,5,
Columbus Blue Jackets,2018,11,5,
New Jersey Devils,2018,12,5,
Anaheim Ducks,2018,13,5,
Minnesota Wild,2018,14,5,
Los Angeles Kings,2018,15,5,
Colorado Avalanche,2018,16,5,
Ottawa Senators,2018,17,6,
St Louis Blues,2018,18,6,
Edmonton Oilers,2018,19,6,
New York Rangers,2018,20,6,
Montreal Canadiens,2018,21,6,
Calgary Flames,2018,22,6,
Chicago Blackhawks,2018,23,6,
Dallas Stars,2018,24,6,
New York Islanders,2018,25,6,
Detroit Red Wings,2018,26,6,
Florida Panthers,2018,27,6,
Vancouver Canucks,2018,28,6,
Arizona Coyotes,2018,29,6,
Buffalo Sabres,2018,30,6,
Carolina Hurricanes,2018,31,6,
Pittsburgh Penguins,2017,1,1,
Nashville Predators,2017,2,2,
Anaheim Ducks,2017,3,3,
Ottawa Senators,2017,4,3,
Washington Capitals,2017,5,4,
Edmonton Oilers,2017,6,4,
New York Rangers,2017,7,4,
St Louis Blues,2017,8,4,
Chicago Blackhawks,2017,9,5,
Columbus Blue Jackets,2017,10,5,
Minnesota Wild,2017,11,5,
Montreal Canadiens,2017,12,5,
San Jose Sharks,2017,13,5,
Toronto Maple Leafs,2017,14,5,
Boston Bruins,2017,15,5,
Calgary Flames,2017,16,5,
Tampa Bay Lightning,2017,17,6,
New York Islanders,2017,18,6,
Philadelphia Flyers,2017,19,6,
Winnipeg Jets,2017,20,6,
Carolina Hurricanes,2017,21,6,
Los Angeles Kings,2017,22,6,
Florida Panthers,2017,23,6,
Dallas Stars,2017,24,6,
Detroit Red Wings,2017,25,6,
Buffalo Sabres,2017,26,6,
Arizona Coyotes,2017,27,6,
New Jersey Devils,2017,28,6,
Vancouver Canucks,2017,29,6,
Colorado Avalanche,2017,30,6,
Pittsburgh Penguins,2016,1,1,
San Jose Sharks,2016,2,2,
St Louis Blues,2016,3,3,
Tampa Bay Lightning,2016,4,3,
Washington Capitals,2016,5,4,
Dallas Stars,2016,6,4,
New York Islanders,2016,7,4,
Nashville Predators,2016,8,4,
Anaheim Ducks,2016,9,5,
Florida Panthers,2016,10,5,
Chicago Blackhawks,2016,11,5,
Los Angeles Kings,2016,12,5,
New York Rangers,2016,13,5,
Philadelphia Flyers,2016,14,5,
Detroit Red Wings,2016,15,5,
Minnesota Wild,2016,16,5,
Boston Bruins,2016,17,6,
Carolina Hurricanes,2016,18,6,
Ottawa Senators,2016,19,6,
New Jersey Devils,2016,20,6,
Montreal Canadiens,2016,21,6,
Colorado Avalanche,2016,22,6,
Buffalo Sabres,2016,23,6,
Arizona Coyotes,2016,24,6,
Winnipeg Jets,2016,25,6,
Calgary Flames,2016,26,6,
Columbus Blue Jackets,2016,27,6,
Vancouver Canucks,2016,28,6,
Edmonton Oilers,2016,29,6,
Toronto Maple Leafs,2016,30,6,
Chicago Blackhawks,2015,1,1,
Tampa Bay Lightning,2015,2,2,
New York Rangers,2015,3,3,
Anaheim Ducks,2015,4,3,
Montreal Canadiens,2015,5,4,
Washington Capitals,2015,6,4,
Minnesota Wild,2015,7,4,
Calgary Flames,2015,8,4,
St Louis Blues,2015,9,5,
Nashville Predators,2015,10,5,
Vancouver Canucks,2015,11,5,
New York Islanders,2015,12,5,
Detroit Red Wings,2015,13,5,
Winnipeg Jets,2015,14,5,
Ottawa Senators,2015,15,5,
Pittsburgh Penguins,2015,16,5,
Boston Bruins,2015,17,6,
Los Angeles Kings,2015,18,6,
Dallas Stars,2015,19,6,
Florida Panthers,2015,20,6,
Colorado Avalanche,2015,21,6,
San Jose Sharks,2015,22,6,
Columbus Blue Jackets,2015,23,6,
Philadelphia Flyers,2015,24,6,
New Jersey Devils,2015,25,6,
Carolina Hurricanes,2015,26,6,
Toronto Maple Leafs,2015,27,6,
Edmonton Oilers,2015,28,6,
Arizona Coyotes,2015,29,6,
Buffalo Sabres,2015,30,6,
Los Angeles Kings,2014,1,1,
New York Rangers,2014,2,2,
Chicago Blackhawks,2014,3,3,
Montreal Canadiens,2014,4,3,
Boston Bruins,2014,5,4,
Anaheim Ducks,2014,6,4,
Pittsburgh Penguins,2014,7,4,
Minnesota Wild,2014,8,4,
Colorado Avalanche,2014,9,5,
San Jose Sharks,2014,10,5,
St Louis Blues,2014,11,5,
Tampa Bay Lightning,2014,12,5,
Philadelphia Flyers,2014,13,5,
Detroit Red Wings,2014,14,5,
Columbus Blue Jackets,2014,15,5,
Dallas Stars,2014,16,5,
Washington Capitals,2014,17,6,
Phoenix Coyotes,2014,18,6,
Nashville Predators,2014,19,6,
New Jersey Devils,2014,20,6,
Ottawa Senators,2014,21,6,
Winnipeg Jets,2014,22,6,
Toronto Maple Leafs,2014,23,6,
Carolina Hurricanes,2014,24,6,
Vancouver Canucks,2014,25,6,
New York Islanders,2014,26,6,
Calgary Flames,2014,27,6,
Edmonton Oilers,2014,28,6,
Florida Panthers,2014,29,6,
Buffalo Sabres,2014,30,6,
Chicago Blackhawks,2013,1,1,
Boston Bruins,2013,2,2,
Pittsburgh Penguins,2013,3,3,
Los Angeles Kings,2013,4,3,
San Jose Sharks,2013,5,4,
Ottawa Senators,2013,6,4,
Detroit Red Wings,2013,7,4,
New York Rangers,2013,8,4,
Anaheim Ducks,2013,9,5,
Montreal Canadiens,2013,10,5,
St Louis Blues,2013,11,5,
Vancouver Canucks,2013,12,5,
Toronto Maple Leafs,2013,13,5,
Washington Capitals,2013,14,5,
Minnesota Wild,2013,15,5,
New York Islanders,2013,16,5,
Columbus Blue Jackets,2013,17,6,
Phoenix Coyotes,2013,18,6,
Winnipeg Jets,2013,19,6,
Philadelphia Flyers,2013,20,6,
Buffalo Sabres,2013,21,6,
New Jersey Devils,2013,22,6,
Dallas Stars,2013,23,6,
Edmonton Oilers,2013,24,6,
Calgary Flames,2013,25,6,
Carolina Hurricanes,2013,26,6,
Nashville Predators,2013,27,6,
Tampa Bay Lightning,2013,28,6,
Colorado Avalanche,2013,29,6,
Florida Panthers,2013,30,6,
Los Angeles Kings,2012,1,1,
New Jersey Devils,2012,2,2,
New York Rangers,2012,3,3,
Phoenix Coyotes,2012,4,3,
St Louis Blues,2012,5,4,
Nashville Predators,2012,6,4,
Philadelphia Flyers,2012,7,4,
Washington Capitals,2012,8,4,
Vancouver Canucks,2012,9,5,
Pittsburgh Penguins,2012,10,5,
Detroit Red Wings,2012,11,5,
Boston Bruins,2012,12,5,
Chicago Blackhawks,2012,13,5,
San Jose Sharks,2012,14,5,
Florida Panthers,2012,15,5,
Ottawa Senators,2012,16,5,
Calgary Flames,2012,17,6,
Dallas Stars,2012,18,6,
Buffalo Sabres,2012,19,6,
Colorado Avalanche,2012,20,6,
Tampa Bay Lightning,2012,21,6,
Winnipeg Jets,2012,22,6,
Carolina Hurricanes,2012,23,6,
Minnesota Wild,2012,24,6,
Anaheim Ducks,2012,25,6,
Toronto Maple Leafs,2012,26,6,
New York Islanders,2012,27,6,
Montreal Canadiens,2012,28,6,
Edmonton Oilers,2012,29,6,
Columbus Blue Jackets,2012,30,6,
Boston Bruins,2011,1,1,
Vancouver Canucks,2011,2,2,
San Jose Sharks,2011,3,3,
Tampa Bay Lightning,2011,4,3,
Philadelphia Flyers,2011,5,4,
Washington Capitals,2011,6,4,
Detroit Red Wings,2011,7,4,
Nashville Predators,2011,8,4,
Pittsburgh Penguins,2011,9,5,
Phoenix Coyotes,2011,10,5,
Anaheim Ducks,2011,11,5,
Los Angeles Kings,2011,12,5,
Chicago Blackhawks,2011,13,5,
Montreal Canadiens,2011,14,5,
Buffalo Sabres,2011,15,5,
Dallas Stars,2011,16,5,
Calgary Flames,2011,17,6,
New York Rangers,2011,18,6,
Carolina Hurricanes,2011,19,6,
St Louis Blues,2011,20,6,
Minnesota Wild,2011,21,6,
Toronto Maple Leafs,2011,22,6,
New Jersey Devils,2011,23,6,
Columbus Blue Jackets,2011,24,6,
Atlanta Thrashers,2011,25,6,
Ottawa Senators,2011,26,6,
New York Islanders,2011,27,6,
Florida Panthers,2011,28,6,
Colorado Avalanche,2011,29,6,
Edmonton Oilers,2011,30,6,
Chicago Blackhawks,2010,1,1,
Philadelphia Flyers,2010,2,2,
San Jose Sharks,2010,3,3,
Montreal Canadiens,2010,4,3,
Vancouver Canucks,2010,5,4,
