ind,games,goals,goals_against_ev,goals_ev,goals_pp,losses,opp_goals,opp_goals_pp,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,sos,srs,team_name,wins,year,cup_champs,rank,avg_corsi_pct,player_point_avg,avg_plus_minus,avg_ops,avg_dps,avg_ps,fenwick_pct,score_balance_pct,ev_goal_diff,special_teams_diff,gf_pg,ga_pg
Nashville Predators_2018,82.0,267.0,145.0,193.0,58.0,18.0,211.0,54.0,101.6,81.94,117.0,0.713,21.17,0.923,9.9,0.03,0.71,Nashville Predators,53.0,2018,0.0,5,49.66,25.48148148148148,9.185185185185183,1.6925925925925922,1.7000000000000008,4.103703703703704,49.83600000000001,0.3888888888888889,48.0,4.0,3.2560975609756095,2.573170731707317
Winnipeg Jets_2018,82.0,277.0,159.0,200.0,64.0,20.0,218.0,50.0,101.0,81.75,114.0,0.695,23.36,0.917,10.3,0.02,0.74,Winnipeg Jets,52.0,2018,0.0,3,51.06153846153847,26.285714285714285,7.25,1.7928571428571425,1.567857142857143,3.925,51.357692307692325,0.2777777777777778,41.0,14.0,3.3780487804878048,2.658536585365854
Tampa Bay Lightning_2018,82.0,296.0,172.0,216.0,66.0,23.0,236.0,64.0,102.0,76.03,113.0,0.6890000000000001,23.91,0.912,10.7,-0.07,0.66,Tampa Bay Lightning,54.0,2018,0.0,4,51.536,28.962962962962962,9.333333333333334,2.103703703703704,1.4074074074074074,4.0851851851851855,51.57599999999999,0.3888888888888889,44.0,2.0,3.6097560975609757,2.8780487804878048
Boston Bruins_2018,82.0,270.0,161.0,197.0,61.0,20.0,214.0,40.0,100.2,83.67,112.0,0.6829999999999999,23.64,0.912,9.9,-0.07,0.62,Boston Bruins,50.0,2018,0.0,7,53.16206896551724,23.161290322580644,5.419354838709676,1.5548387096774194,1.5096774193548386,3.5129032258064514,53.32068965517244,0.2777777777777778,36.0,21.0,3.292682926829268,2.6097560975609757
Vegas Golden Knights_2018,82.0,272.0,182.0,218.0,53.0,24.0,228.0,44.0,100.5,81.43,109.0,0.665,21.37,0.911,10.1,-0.01,0.52,Vegas Golden Knights,51.0,2018,0.0,2,50.77916666666667,26.0,5.037037037037037,1.7888888888888894,1.5185185185185186,3.8074074074074082,50.77083333333334,0.2777777777777778,36.0,9.0,3.317073170731707,2.7804878048780486
Washington Capitals_2018,82.0,259.0,178.0,197.0,55.0,26.0,239.0,53.0,101.4,80.3,105.0,0.64,22.54,0.909,10.7,-0.04,0.21,Washington Capitals,49.0,2018,1.0,1,47.65909090909091,28.75,2.9166666666666665,1.85,1.5833333333333333,4.037499999999999,47.15909090909091,0.2777777777777778,19.0,2.0,3.158536585365854,2.9146341463414633
Toronto Maple Leafs_2018,82.0,277.0,189.0,213.0,56.0,26.0,232.0,43.0,101.6,81.39,105.0,0.64,25.0,0.915,10.1,-0.06,0.49,Toronto Maple Leafs,49.0,2018,0.0,10,50.18260869565216,28.32,5.24,1.936,1.5600000000000005,4.223999999999998,49.17826086956522,0.4444444444444444,24.0,13.0,3.3780487804878048,2.8292682926829267
Anaheim Ducks_2018,82.0,235.0,159.0,183.0,38.0,25.0,216.0,46.0,101.2,83.21,101.0,0.616,17.76,0.923,9.3,0.01,0.24,Anaheim Ducks,44.0,2018,0.0,13,46.853571428571435,20.566666666666666,4.433333333333334,1.1566666666666665,1.4633333333333338,3.2533333333333334,46.80357142857143,0.16666666666666666,24.0,-8.0,2.8658536585365852,2.6341463414634148
Minnesota Wild_2018,82.0,253.0,176.0,194.0,49.0,26.0,232.0,51.0,100.7,81.25,101.0,0.616,20.42,0.91,10.0,0.04,0.29,Minnesota Wild,45.0,2018,0.0,14,46.152,24.962962962962962,4.0,1.5518518518518518,1.5037037037037038,3.6259259259259258,47.15599999999999,0.2777777777777778,18.0,-2.0,3.0853658536585367,2.8292682926829267
Pittsburgh Penguins_2018,82.0,272.0,195.0,198.0,68.0,29.0,250.0,53.0,98.5,80.0,100.0,0.61,26.15,0.902,9.6,-0.04,0.23,Pittsburgh Penguins,47.0,2018,0.0,8,51.18749999999999,26.962962962962962,0.5185185185185185,1.8296296296296293,1.3185185185185182,3.6259259259259267,51.89583333333334,0.3333333333333333,3.0,15.0,3.317073170731707,3.048780487804878
