,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,ties,total_goals_per_game,wins
0,31.9,314,82,255,142,177,63,15,21,2,317,189,42,5,,86.75,11.5,11.2,109,0.665,20.06,0.912,10.3,2484,2151,-0.09,0.72,Detroit Red Wings*,11,5.41,48
1,28.1,339,82,245,146,175,55,15,22,6,278,192,42,4,,84.89,11.6,13.1,106,0.6459999999999999,16.22,0.9079999999999999,10.0,2460,2085,-0.09,0.56,Tampa Bay Lightning*,8,5.33,46
2,26.8,337,82,219,127,154,56,9,21,6,319,183,47,9,,85.27,13.1,13.6,104,0.634,16.62,0.9229999999999999,9.5,2300,2373,-0.04,0.4,San Jose Sharks*,12,4.9,43
3,27.9,300,82,209,120,154,48,7,19,7,335,188,55,13,,83.58,14.5,12.8,104,0.634,16.0,0.9179999999999999,8.4,2500,2280,0.03,0.29,Boston Bruins*,15,4.84,41
4,30.7,373,82,242,132,159,75,8,24,3,386,204,64,8,,83.42,17.5,16.3,103,0.628,20.11,0.9059999999999999,10.7,2253,2166,0.02,0.48,Toronto Maple Leafs*,10,5.44,45
5,27.0,370,82,262,124,176,80,6,23,6,347,189,57,8,,83.57,15.3,16.4,102,0.622,21.62,0.907,10.8,2421,2040,-0.01,0.88,Ottawa Senators*,10,5.5,43
6,27.5,376,82,235,136,174,56,5,24,5,360,194,50,8,,86.11,15.2,15.4,101,0.616,14.89,0.9109999999999999,9.9,2379,2183,0.02,0.52,Vancouver Canucks*,10,5.23,43
7,29.7,314,82,229,125,157,65,7,21,6,348,186,58,3,,83.33,16.3,15.7,101,0.616,20.7,0.9109999999999999,9.5,2410,2092,-0.05,0.47,Philadelphia Flyers*,15,5.06,40
8,28.8,312,82,213,120,154,51,8,25,2,266,164,39,5,,85.34,10.7,11.2,100,0.61,16.35,0.9179999999999999,8.8,2433,2001,-0.06,0.54,New Jersey Devils*,12,4.6,43
9,27.9,363,82,236,126,155,74,7,22,7,357,198,58,14,,83.75,15.4,15.4,100,0.61,20.39,0.915,9.8,2410,2325,0.02,0.48,Colorado Avalanche*,13,5.29,40
10,30.6,328,82,194,120,137,52,5,26,2,311,175,44,11,,85.85,13.7,13.4,97,0.591,15.85,0.9079999999999999,8.8,2196,1902,-0.01,0.22,Dallas Stars*,13,4.5,41
11,26.9,357,82,200,121,135,54,11,30,3,346,176,53,2,,84.68,17.0,17.1,94,0.573,15.13,0.9159999999999999,8.9,2248,2090,0.04,0.33,Calgary Flames*,7,4.59,42
12,28.0,319,82,208,131,148,55,5,30,4,314,192,55,6,,82.48,12.5,13.0,93,0.5670000000000001,17.24,0.9179999999999999,9.2,2270,2342,0.04,0.23,Montreal Canadiens*,7,4.88,41
13,30.0,341,82,191,130,123,61,7,30,2,369,198,57,11,,84.55,15.2,13.9,91,0.555,17.89,0.9059999999999999,8.6,2223,2103,-0.01,-0.09,St. Louis Blues*,11,4.74,39
14,26.5,428,82,216,145,130,72,14,29,4,351,217,64,8,,81.77,16.3,19.4,91,0.555,16.82,0.907,9.7,2227,2335,-0.04,-0.05,Nashville Predators*,11,5.28,38
