,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
0,30,447,343,43.4,-4.6,341,263,43.5,-5.7,27,23,10.0,90.5,100.5,Francois Beauchemin,D,51.7,7,21:42,17:23,58,45.3,54.7,Anaheim Ducks
1,22,491,334,40.5,-5.8,384,258,40.2,-7.0,35,10,8.3,90.6,98.9,Matt Beleskey,LW,61.7,7,12:59,12:08,94,46.8,53.2,Anaheim Ducks
2,37,1011,857,45.9,1.7,777,652,45.6,0.6,76,36,7.8,92.3,100.0,Jason Blake,C,65.4,34,14:46,13:14,286,47.2,52.8,Anaheim Ducks
3,26,71,55,43.7,-3.2,57,50,46.7,-0.6,9,1,3.1,90.9,94.0,Troy Bodie,RW,62.5,2,9:43,7:34,8,58.3,41.7,Anaheim Ducks
4,22,237,179,43.0,-2.6,191,146,43.3,-2.0,26,4,3.7,94.1,97.8,Nick Bonino,C,56.1,10,9:48,9:27,41,38.8,61.2,Anaheim Ducks
5,30,421,369,46.7,-2.3,326,287,46.8,-3.0,40,9,3.7,92.6,96.4,Sheldon Brookbank,D,47.5,3,13:20,11:11,61,38.9,61.1,Anaheim Ducks
6,27,142,168,54.2,6.5,114,130,53.3,4.4,18,0,4.3,90.8,95.1,Ryan Carter,C,62.2,1,10:44,9:50,37,44.2,55.8,Anaheim Ducks
7,24,272,228,45.6,-1.4,211,179,45.9,-1.3,40,5,4.5,96.6,101.2,Kyle Chipchura,C,67.6,8,7:60,7:07,34,35.5,64.5,Anaheim Ducks
8,24,13,5,27.8,,9,3,25.0,,1,0,0.0,77.8,77.8,Brett Festerling,D,0.0,0,14:53,8:09,1,0.0,100.0,Anaheim Ducks
9,19,1412,1036,42.3,-5.2,1076,826,43.4,-3.5,76,41,6.6,91.6,98.2,Cam Fowler,D,48.2,23,22:08,18:06,255,47.6,52.4,Anaheim Ducks
10,25,1112,1044,48.4,5.0,840,808,49.0,5.5,67,81,12.6,91.3,103.9,Ryan Getzlaf,C,49.6,35,21:51,17:47,236,53.0,47.0,Anaheim Ducks
11,33,99,95,49.0,-2.1,83,76,47.8,-2.2,12,0,1.9,93.3,95.3,Josh Green,LW,50.0,3,10:01,9:22,20,43.5,56.5,Anaheim Ducks
12,36,1188,904,43.2,-2.5,902,681,43.0,-3.5,75,32,9.6,91.4,101.1,Saku Koivu,C,55.0,29,19:08,14:53,189,57.8,42.2,Anaheim Ducks
13,25,228,144,38.7,-10.4,158,117,42.5,-6.2,21,2,6.0,91.6,97.5,Maxim Lapierre,C,60.9,3,11:35,10:36,46,47.0,53.0,Anaheim Ducks
14,35,731,497,40.5,-7.6,553,397,41.8,-6.1,52,20,5.6,91.9,97.4,Andreas Lilja,D,51.7,6,17:26,13:53,60,49.7,50.3,Anaheim Ducks
15,27,354,227,39.1,-4.3,256,176,40.7,-1.7,26,7,6.7,93.1,99.8,Joffrey Lupul,C,58.1,4,13:13,11:08,93,48.3,51.7,Anaheim Ducks
16,33,1323,1177,47.1,4.4,991,911,47.9,4.4,78,38,12.1,92.9,105.0,Toni Lydman,D,50.8,11,22:10,17:49,195,57.2,42.8,Anaheim Ducks
17,31,618,399,39.2,-10.2,487,325,40.0,-8.3,33,8,7.4,94.4,101.7,Paul Mara,D,50.0,3,20:10,16:39,68,48.7,51.3,Anaheim Ducks
18,37,773,495,39.0,-8.3,584,396,40.4,-6.8,79,15,3.5,92.6,96.0,Todd Marchant,C,55.3,22,13:17,9:38,114,60.9,39.1,Anaheim Ducks
19,20,748,473,38.7,-7.9,529,361,40.6,-6.1,60,19,8.4,91.0,99.3,Brandon McMillan,LW,57.9,11,14:04,11:38,133,47.5,52.5,Anaheim Ducks
20,23,88,50,36.2,-18.8,73,43,37.1,-16.5,5,2,7.4,93.8,101.2,Brendan Mikkelson,D,66.7,0,19:24,14:43,6,62.5,37.5,Anaheim Ducks
21,19,88,56,38.9,-13.6,72,47,39.5,-11.5,10,1,6.3,93.0,99.3,Kyle Palmieri,C,71.4,0,8:41,8:41,14,38.2,61.8,Anaheim Ducks
22,31,453,352,43.7,-2.5,337,274,44.8,-1.6,78,13,2.5,96.1,98.6,George Parros,RW,51.6,7,6:25,6:24,64,35.7,64.3,Anaheim Ducks
23,25,1366,1223,47.2,3.1,1049,958,47.7,3.3,82,54,11.5,90.6,102.1,Corey Perry,RW,60.0,55,22:19,17:09,482,53.1,46.9,Anaheim Ducks
24,35,130,108,45.4,-0.4,94,91,49.2,3.1,23,2,2.8,96.9,99.7,Jarkko Ruutu,LW,62.5,1,8:59,6:56,32,35.7,64.3,Anaheim Ducks
25,23,1298,1246,49.0,5.4,984,968,49.6,5.9,82,42,11.9,91.2,103.1,Bobby Ryan,RW,63.7,62,20:11,16:38,421,46.3,53.7,Anaheim Ducks
26,21,984,705,41.7,-5.3,735,540,42.4,-4.9,68,28,6.3,92.4,98.7,Luca Sbisa,D,51.4,15,16:48,13:58,148,43.9,56.1,Anaheim Ducks
27,40,1016,849,45.5,-0.8,780,634,44.8,-2.3,73,45,11.0,91.8,102.8,Teemu Selanne*,RW,65.9,37,17:56,14:26,320,53.8,46.2,Anaheim Ducks
28,23,506,386,43.3,-4.0,376,318,45.8,-1.3,47,12,6.0,92.1,98.1,Dan Sexton,RW,66.1,8,11:35,11:11,118,45.4,54.6,Anaheim Ducks
29,35,495,343,40.9,-4.4,342,276,44.7,0.0,39,14,8.3,92.8,101.1,Andy Sutton,D,60.8,5,14:45,12:16,51,46.5,53.5,Anaheim Ducks
30,25,80,95,54.3,1.9,65,68,51.1,-8.2,6,0,3.9,90.6,94.5,Danny Syvret,D,38.1,0,16:27,14:37,21,38.0,62.0,Anaheim Ducks
31,34,1495,1443,49.1,7.8,1144,1102,49.1,6.5,81,45,11.5,91.4,102.8,Lubomir Visnovsky,D,44.8,30,24:18,19:42,339,54.9,45.1,Anaheim Ducks
32,29,61,53,46.5,2.9,46,45,49.5,4.0,12,0,3.3,83.3,86.7,Aaron Voros,LW,80.0,1,5:33,5:33,10,36.6,63.4,Anaheim Ducks
33,29,180,108,37.5,-10.2,129,87,40.3,-8.3,19,4,3.0,88.1,91.1,Brad Winchester,LW,69.7,3,10:28,9:17,33,50.6,49.4,Anaheim Ducks
34,30,942,840,47.1,-5.7,690,636,48.0,-6.4,76,31,7.6,91.1,98.7,Nik Antropov,C,57.7,35,15:28,12:55,182,50.4,49.6,Atlanta Thrashers
35,23,628,683,52.1,3.5,473,516,52.2,1.9,52,12,6.7,90.0,96.7,Niclas Bergfors,RW,60.0,40,14:09,12:20,165,52.7,47.3,Atlanta Thrashers
36,20,1273,1136,47.2,-6.7,937,871,48.2,-7.6,71,53,5.8,91.5,97.2,Zach Bogosian,D,50.7,31,22:07,18:11,300,52.1,47.9,Atlanta Thrashers
37,34,545,461,45.8,-6.5,390,356,47.7,-5.7,69,14,7.2,93.8,100.9,Eric Boulton,LW,60.0,11,8:51,8:45,85,49.6,50.4,Atlanta Thrashers
38,19,797,693,46.5,-3.3,567,521,47.9,-3.0,74,33,6.9,91.7,98.5,Alexander Burmistrov,C,55.6,48,13:04,11:38,162,44.1,55.9,Atlanta Thrashers
39,25,1378,1653,54.5,7.4,1037,1254,54.7,5.5,81,58,8.5,90.9,99.4,Dustin Byfuglien,D,56.2,84,23:02,18:59,612,44.7,55.3,Atlanta Thrashers
40,20,207,155,42.8,-6.4,148,118,44.4,-6.3,21,1,3.4,92.8,96.2,Patrice Cormier,C,71.1,6,9:39,9:23,38,54.9,45.1,Atlanta Thrashers
41,25,100,84,45.7,5.7,75,68,47.6,7.8,9,3,4.0,85.2,89.2,Nigel Dawes,LW,60.0,6,11:11,11:02,15,55.8,44.2,Atlanta Thrashers
42,33,130,148,53.2,-3.3,85,114,57.3,-0.2,13,3,4.9,93.8,98.6,Radek Dvorak,RW,62.5,12,14:08,12:17,32,51.9,48.1,Atlanta Thrashers
43,27,427,309,42.0,-8.9,309,223,41.9,-10.3,34,10,9.7,94.5,104.2,Ben Eager,LW,56.9,13,12:15,11:60,72,56.3,43.7,Atlanta Thrashers
44,26,1271,1332,51.2,1.7,964,1005,51.0,-0.3,72,27,8.1,90.8,99.0,Toby Enstrom,D,45.3,26,23:23,18:09,243,44.5,55.5,Atlanta Thrashers
45,29,1248,1121,47.3,-4.6,866,862,49.9,-3.0,82,47,8.2,92.3,100.5,Ron Hainsey,D,45.4,29,17:54,15:40,183,52.0,48.0,Atlanta Thrashers
46,19,1003,999,49.9,-2.4,743,766,50.8,-3.1,73,39,8.1,89.6,97.8,Evander Kane,C,61.8,53,17:36,14:33,369,45.6,54.4,Atlanta Thrashers
47,20,5,6,54.5,-8.4,0,5,100.0,35.5,1,0,0.0,,,Carl Klingberg,LW,0.0,0,10:22,10:22,1,25.0,75.0,Atlanta Thrashers
48,22,25,29,53.7,,18,25,58.1,,2,1,5.3,72.7,78.0,Arturs Kulda ,D,75.0,0,11:07,11:00,4,30.8,69.2,Atlanta Thrashers
