,Adjusted Cap Hit,Age,Base Salary,Cap Percentage,Performance Bonus,Player,Position,Signing Bonus,Team,Total Cap Hit,Total Salary
0,"$8,625,000 ",30,"$5,000,000",13.65,-,Corey Perry,RW,"$4,000,000",Anaheim Ducks 2015-2016 Salary Cap ,"$8,625,000 ","$9,000,000"
1,"$8,250,000 ",30,"$9,250,000",13.06,-,Ryan Getzlaf,C,-,Anaheim Ducks 2015-2016 Salary Cap ,"$8,250,000 ","$9,250,000"
2,"$5,000,000 ",31,"$5,000,000",7.91,-,Ryan Kesler,C,-,Anaheim Ducks 2015-2016 Salary Cap ,"$5,000,000 ","$5,000,000"
3,"$4,600,000 ",34,"$2,500,000",7.28,-,Kevin Bieksa,D,-,Anaheim Ducks 2015-2016 Salary Cap ,"$4,600,000 ",-
4,"$4,000,000 ",23,"$4,000,000",6.33,-,Cam Fowler,D,-,Anaheim Ducks 2015-2016 Salary Cap ,"$4,000,000 ","$4,000,000"
5,"$3,812,500 ",27,"$4,500,000",6.03,-,David Perron,LW,-,Anaheim Ducks 2015-2016 Salary Cap ,"$3,812,500 ","$4,500,000"
6,"$3,750,000 ",24,"$4,500,000",5.93,-,Jakob Silfverberg,RW,-,Anaheim Ducks 2015-2016 Salary Cap ,"$3,750,000 ","$4,500,000"
7,"$3,250,000 ",30,"$3,250,000",5.14,-,Clayton Stoner,D,-,Anaheim Ducks 2015-2016 Salary Cap ,"$3,250,000 ","$3,250,000"
8,"$3,000,000 ",28,"$2,900,000",4.75,-,Andrew Cogliano,LW,-,Anaheim Ducks 2015-2016 Salary Cap ,"$3,000,000 ","$2,900,000"
9,"$1,750,000 ",37,"$1,750,000",2.77,-,Shawn Horcoff,LW,-,Anaheim Ducks 2015-2016 Salary Cap ,"$1,750,000 ","$1,750,000"
10,"$1,700,000 ",27,"$1,700,000",2.69,-,Chris Stewart,RW,-,Anaheim Ducks 2015-2016 Salary Cap ,"$1,700,000 ","$1,700,000"
11,"$1,600,000 ",30,"$1,600,000",2.53,-,Nate Thompson,C,-,Anaheim Ducks 2015-2016 Salary Cap ,"$1,600,000 ","$1,600,000"
12,"$1,262,500 ",24,"$1,275,000",2.00,-,Sami Vatanen,D,-,Anaheim Ducks 2015-2016 Salary Cap ,"$1,262,500 ","$1,275,000"
13,"$1,150,000 ",25,"$1,300,000",1.82,-,Frederik Andersen,G,-,Anaheim Ducks 2015-2016 Salary Cap ,"$1,150,000 ","$1,300,000"
14,"$925,000 ",23,"$832,500",1.46,-,Josh Manson,D,"$92,500",Anaheim Ducks 2015-2016 Salary Cap ,"$925,000 ","$925,000"
15,"$900,000 ",24,"$900,000",1.42,-,Simon Despres,D,-,Anaheim Ducks 2015-2016 Salary Cap ,"$900,000 ","$900,000"
16,"$894,167 ",21,"$832,500",1.41,"$850,000",Hampus Lindholm,D,-,Anaheim Ducks 2015-2016 Salary Cap ,"$894,167 ","$925,000"
