,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,2.74,26,95,43,37,7.0,88,2.30,4.46,9,2298,Frederik Andersen,.649,24,5,.919,998,1086,3,Anaheim Ducks,7,22
1,2.46,22,94,40,38,6.5,79,2.07,5.46,13,2295,John Gibson,.553,21,3,.920,913,992,4,Anaheim Ducks,4,21
2,3.20,29,,9,7,0.9,16,2.69,,3,356,Anton Khudobin,.429,3,3,.909,159,175,1,Anaheim Ducks,0,3
3,3.07,28,99,64,62,11.1,157,2.56,0.85,22,3678,Tuukka Rask,.548,34,10,.915,1697,1854,4,Boston Bruins,8,31
4,3.24,31,108,24,20,3.2,57,2.72,-4.04,9,1258,Jonas Gustavsson,.450,9,2,.908,565,622,1,Boston Bruins,1,11
5,2.83,29,94,45,40,8.2,102,2.36,6.13,16,2591,Chad Johnson,.575,23,3,.920,1168,1270,1,Buffalo Sabres,4,22
6,3.13,22,102,20,20,3.2,49,2.60,-0.89,10,1131,Linus Ullmark,.600,12,4,.913,516,565,0,Buffalo Sabres,2,8
7,2.94,24,89,21,21,4.5,48,2.47,5.98,9,1164,Robin Lehner,.619,13,3,.924,586,634,1,Buffalo Sabres,5,5
8,5.00,23,,1,1,0.0,4,4.00,,1,60,Jason Kasdorf,.000,0,0,.867,26,30,0,Buffalo Sabres,0,0
9,3.13,29,107,37,37,5.4,94,2.63,-5.96,18,2145,Karri Ramo,.541,20,4,.909,940,1034,1,Calgary Flames,1,17
10,4.22,33,142,26,23,1.1,79,3.51,-23.32,11,1351,Jonas Hiller,.304,7,8,.879,575,654,1,Calgary Flames,1,9
11,3.31,24,115,22,19,2.5,55,2.76,-6.98,9,1196,Joni Ortio,.474,9,3,.902,509,564,1,Calgary Flames,5,7
12,4.13,37,,4,3,0.2,13,3.35,,2,233,Niklas Backstrom,.667,2,1,.881,96,109,0,Calgary Flames,0,2
13,2.88,31,107,52,51,7.0,122,2.41,-7.65,17,3038,Cam Ward,.451,23,7,.909,1221,1343,1,Carolina Hurricanes,10,23
14,3.37,28,116,34,31,3.9,90,2.81,-12.52,14,1920,Eddie Lack,.452,14,7,.901,820,910,2,Carolina Hurricanes,6,12
15,2.82,31,90,58,58,12.0,131,2.37,15.27,18,3323,Corey Crawford,.690,40,9,.924,1587,1718,7,Chicago Blackhawks,5,35
16,3.08,27,100,29,24,4.6,67,2.58,-0.25,8,1560,Scott Darling,.542,13,5,.915,717,784,1,Chicago Blackhawks,4,12
17,1.52,34,,1,0,0.2,1,1.52,,0,39,Michael Leighton,,0,0,.941,16,17,0,Chicago Blackhawks,0,0
18,3.36,27,101,57,57,9.9,148,2.81,-2.07,25,3159,Semyon Varlamov,.439,25,10,.914,1566,1714,2,Colorado Avalanche,3,27
19,3.04,23,92,20,13,3.6,42,2.56,3.89,6,985,Calvin Pickard,.615,8,1,.922,497,539,1,Colorado Avalanche,1,7
20,2.91,29,91,14,12,2.5,29,2.41,2.84,8,721,Reto Berra,.583,7,2,.922,345,374,2,Colorado Avalanche,0,5
21,3.25,23,,1,0,-0.1,1,3.25,,0,18,Roman Will,,0,0,.667,2,3,0,Colorado Avalanche,0,0
22,3.09,21,95,31,30,6.3,78,2.60,4.50,11,1803,Joonas Korpisalo,.533,16,1,.920,891,969,0,Columbus Blue Jackets,4,16
23,3.29,27,109,37,37,5.3,97,2.75,-7.69,19,2116,Sergei Bobrovsky,.486,18,8,.908,952,1049,1,Columbus Blue Jackets,1,15
24,3.95,32,130,18,12,1.2,46,3.30,-10.50,7,835,Curtis McElhinney,.250,3,3,.890,371,417,0,Columbus Blue Jackets,3,2
25,3.70,23,,4,3,0.5,9,3.03,,3,178,Anton Forsberg,.333,1,0,.907,88,97,0,Columbus Blue Jackets,0,1
26,3.32,32,110,43,39,5.5,105,2.76,-9.56,10,2279,Kari Lehtonen,.513,20,5,.906,1016,1121,2,Dallas Stars,2,25
27,3.19,32,111,48,43,5.9,118,2.67,-11.91,13,2654,Antti Niemi,.442,19,8,.905,1128,1246,3,Dallas Stars,7,25
28,2.78,23,93,54,49,9.5,115,2.33,8.29,16,2961,Petr Mrazek,.633,31,5,.921,1333,1448,4,Detroit Red Wings,6,27
29,3.34,31,110,37,33,4.8,92,2.80,-8.65,14,1974,Jimmy Howard,.485,16,6,.906,887,979,2,Detroit Red Wings,5,14
30,3.05,28,98,56,53,10.1,137,2.55,3.31,27,3223,Cam Talbot,.491,26,4,.917,1511,1648,3,Edmonton Oilers,5,21
31,3.78,25,117,26,24,3.1,74,3.14,-10.57,12,1413,Anders Nilsson,.458,11,5,.901,671,745,0,Edmonton Oilers,2,10
32,4.41,22,,5,5,0.1,18,3.61,,4,300,Laurent Brossoit,.200,1,2,.873,124,142,0,Edmonton Oilers,1,0
33,2.80,36,92,62,60,12.1,141,2.35,12.34,19,3602,Roberto Luongo,.567,34,8,.922,1660,1801,4,Florida Panthers,6,35
34,2.58,30,95,25,22,3.9,49,2.18,2.77,7,1351,Al Montoya,.636,14,3,.919,559,608,0,Florida Panthers,3,12
35,2.65,30,96,68,68,11.5,149,2.22,5.96,23,4034,Jonathan Quick,.559,38,9,.918,1671,1820,5,Los Angeles Kings,5,40
36,2.59,27,91,16,13,2.7,31,2.17,2.89,5,856,Jhonas Enroth,.615,8,1,.922,367,398,2,Los Angeles Kings,1,7
37,4.82,33,,1,1,0.0,4,3.85,,0,62,Peter Budaj,.000,0,0,.857,24,28,0,Los Angeles Kings,0,1
38,2.78,29,96,67,66,11.5,150,2.33,5.73,26,3861,Devan Dubnyk,.515,34,5,.918,1679,1829,5,Minnesota Wild,6,32
39,2.88,25,100,21,16,3.0,43,2.43,0.17,7,1063,Darcy Kuemper,.500,8,2,.915,464,507,2,Minnesota Wild,5,6
40,3.25,25,114,55,51,6.6,141,2.71,-16.86,25,3123,Mike Condon,.471,24,9,.903,1317,1458,1,Montreal Canadiens,6,21
41,2.49,28,77,12,12,3.0,24,2.06,7.08,2,698,Carey Price,.667,8,1,.934,341,365,2,Montreal Canadiens,0,10
42,3.65,29,110,15,14,2.2,42,3.07,-3.94,8,822,Ben Scrivens,.286,4,2,.906,405,447,0,Montreal Canadiens,0,5
43,2.00,22,,1,1,0.2,2,2.00,,0,60,Charlie Lindgren,1.000,1,0,.929,26,28,0,Montreal Canadiens,0,1
44,3.71,26,,6,4,0.1,12,3.18,,3,226,Dustin Tokarski,.250,1,2,.878,86,98,0,Montreal Canadiens,0,1
45,2.96,33,108,66,66,8.8,161,2.48,-12.51,21,3895,Pekka Rinne,.485,32,11,.908,1583,1744,4,Nashville Predators,10,34
46,2.76,30,96,17,15,2.9,38,2.33,1.51,5,979,Carter Hutton,.467,7,1,.918,426,464,2,Nashville Predators,4,7
47,4.14,20,,1,1,0.0,3,3.10,,1,58,Juuse Saros,.000,0,0,.870,20,23,0,Nashville Predators,0,0
48,2.55,29,90,58,58,11.1,122,2.15,13.97,25,3412,Cory Schneider,.690,40,7,.924,1475,1597,4,New Jersey Devils,6,27
49,3.34,26,113,23,20,2.8,58,2.81,-6.49,9,1240,Keith Kinkaid,.500,10,5,.904,547,605,2,New Jersey Devils,1,9
50,1.50,23,,4,4,1.3,5,1.25,,1,241,Scott Wedgewood,.750,3,0,.957,111,116,1,New Jersey Devils,1,2
51,5.94,34,,2,0,-0.2,4,4.75,,1,51,Yann Danis,,0,0,.778,14,18,0,New Jersey Devils,0,0
52,2.81,30,88,41,38,8.5,90,2.36,11.92,11,2287,Thomas Greiss,.579,22,2,.925,1107,1197,1,New York Islanders,4,23
53,2.75,30,95,36,36,6.3,80,2.30,3.78,13,2091,Jaroslav Halak,.583,21,6,.919,904,984,3,New York Islanders,4,18
54,3.31,24,,7,6,1.2,18,2.71,,2,399,Jean-Francois Berube,.667,4,1,.914,192,210,0,New York Islanders,1,3
55,4.02,23,,4,2,0.2,11,3.40,,1,194,Christopher Gibson,.000,0,1,.882,82,93,0,New York Islanders,1,1
56,2.96,33,94,65,64,12.6,156,2.48,9.52,21,3772,Henrik Lundqvist,.609,39,6,.920,1788,1944,4,New York Rangers,7,35
57,2.66,26,95,25,18,3.4,43,2.24,2.13,6,1145,Antti Raanta,.667,12,4,.919,487,530,1,New York Rangers,2,11
58,6.00,24,,1,0,-0.1,2,6.00,,0,20,Magnus Hellberg,,0,0,.667,4,6,0,New York Rangers,0,0
59,3.33,34,99,60,60,11.6,161,2.78,2.05,23,3477,Craig Anderson,.517,31,8,.916,1754,1915,4,Ottawa Senators,5,31
60,3.17,27,101,24,21,4.2,61,2.65,-0.38,11,1382,Andrew Hammond,.619,13,1,.914,651,712,1,Ottawa Senators,4,7
61,0.00,21,,1,0,0.2,0,0.00,,0,32,Chris Driedger,,0,0,1.000,11,11,0,Ottawa Senators,0,0
62,4.14,23,,1,1,0.2,3,3.10,,1,58,Matt O'Connor,.000,0,0,.912,31,34,0,Ottawa Senators,0,0
