,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,losses_shootout,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,total_goals_per_game,wins,wins_shootout
0,28.4,248,82,263,130,199,57,5,19,8,5,272,182,44,3,102.5,83.82,9.1,8.7,118,0.72,22.98,0.922,10.5,2495,2282,0.0,0.99,Washington Capitals*,5.43,55,2
1,28.7,260,82,282,151,213,60,5,21,11,5,257,234,52,7,101.0,79.77,8.6,7.9,111,0.677,23.08,0.915,10.1,2745,2393,0.01,0.59,Pittsburgh Penguins*,6.29,50,4
2,29.4,233,82,244,155,197,42,1,23,9,1,211,213,47,7,101.3,77.73,7.1,7.7,109,0.665,18.03,0.9179999999999999,9.6,2508,2548,-0.06,0.32,Chicago Blackhawks*,5.57,50,4
3,26.2,211,82,249,152,195,42,10,24,8,2,223,195,39,2,101.2,82.51,8.7,8.6,108,0.659,19.91,0.922,9.7,2540,2489,0.02,0.68,Columbus Blue Jackets*,5.41,50,2
4,28.3,224,82,266,154,211,47,5,25,8,2,217,208,37,3,101.5,82.95,8.2,7.7,106,0.6459999999999999,20.98,0.914,10.4,2527,2203,-0.08,0.63,Minnesota Wild*,5.78,49,3
5,27.6,251,82,223,143,164,47,9,23,13,3,281,200,43,7,100.7,84.7,11.4,9.7,105,0.64,18.73,0.917,9.1,2425,2286,-0.04,0.24,Anaheim Ducks*,5.16,46,3
6,28.8,230,82,226,145,173,45,5,26,9,2,249,200,47,6,100.7,81.12,9.3,7.9,103,0.628,19.57,0.9179999999999999,9.1,2459,2429,-0.01,0.31,Montreal Canadiens*,5.2,47,3
7,26.7,245,82,247,150,183,56,4,26,9,5,223,212,43,5,100.9,80.72,9.0,8.7,103,0.628,22.86,0.915,9.5,2547,2228,-0.06,0.37,Edmonton Oilers*,5.6,47,4
8,28.3,232,82,256,158,197,47,9,28,6,4,224,220,45,5,101.0,79.91,7.2,7.5,102,0.622,20.26,0.9109999999999999,10.4,2438,2304,0.03,0.47,New York Rangers*,5.8,48,3
9,28.0,235,82,235,162,180,50,3,29,7,2,263,218,40,5,100.7,84.79,9.0,7.8,99,0.604,21.28,0.9059999999999999,10.0,2330,2187,-0.04,0.17,St. Louis Blues*,5.52,46,2
10,29.6,246,82,221,130,171,41,7,29,7,1,212,201,41,6,100.3,80.66,7.8,7.2,99,0.604,16.67,0.915,8.9,2453,1992,-0.03,0.21,San Jose Sharks*,5.15,46,2
11,28.8,254,82,212,147,156,43,7,28,10,4,247,214,50,3,99.7,79.76,10.3,9.6,98,0.598,16.93,0.915,8.4,2463,2350,0.01,-0.01,Ottawa Senators*,5.2,44,6
12,26.2,244,82,251,177,186,57,6,27,15,8,251,242,44,7,100.5,82.47,9.7,9.8,95,0.579,23.36,0.9129999999999999,9.6,2617,2611,0.0,0.11,Toronto Maple Leafs*,6.01,40,1
13,28.8,244,82,234,165,169,53,10,31,7,3,266,212,38,6,98.4,85.71,10.1,9.8,95,0.579,21.72,0.905,8.5,2721,2194,0.0,0.27,Boston Bruins*,5.44,44,2
14,26.8,272,82,234,150,164,62,4,30,10,3,258,227,48,8,99.8,81.4,10.7,10.7,94,0.573,22.79,0.912,9.4,2452,2239,0.01,0.09,Tampa Bay Lightning,5.62,42,4
15,28.4,234,82,241,190,199,35,5,29,12,4,227,242,40,7,100.6,82.38,7.9,7.9,94,0.573,14.96,0.909,9.6,2480,2616,0.05,0.03,New York Islanders,5.89,41,2
16,27.9,259,82,240,168,177,49,12,29,12,4,241,224,46,6,100.4,80.91,10.2,10.7,94,0.573,18.92,0.9109999999999999,9.3,2557,2472,-0.04,0.16,Nashville Predators*,5.66,41,2
17,28.3,258,82,226,163,162,52,8,33,4,2,277,221,51,5,99.7,81.59,11.7,10.7,94,0.573,20.16,0.907,9.3,2388,2354,-0.04,0.02,Calgary Flames*,5.45,45,4
18,27.6,277,82,219,172,154,54,4,33,10,5,247,236,50,9,98.5,79.76,10.3,11.1,88,0.537,19.49,0.9009999999999999,8.2,2585,2334,0.04,-0.17,Philadelphia Flyers,5.55,39,7
19,26.1,264,82,249,175,188,48,10,35,7,1,275,256,62,9,99.9,77.45,10.2,9.3,87,0.53,18.18,0.9009999999999999,10.0,2448,2448,-0.03,-0.11,Winnipeg Jets,6.16,40,3
20,26.8,231,82,215,192,161,41,10,31,15,6,202,236,32,6,98.8,84.16,5.8,6.6,87,0.53,17.75,0.9009999999999999,8.5,2493,2320,0.05,-0.21,Carolina Hurricanes,5.5,36,3
21,29.1,241,82,201,157,148,46,5,35,8,4,245,205,38,3,98.5,84.49,9.2,9.0,86,0.524,19.09,0.902,7.8,2553,1999,-0.02,-0.07,Los Angeles Kings,4.95,39,2
22,28.6,265,82,210,187,152,45,8,36,11,6,245,237,36,8,98.9,85.31,9.9,9.9,81,0.494,16.98,0.9109999999999999,7.8,2644,2595,0.03,-0.3,Florida Panthers,5.45,35,5
23,28.5,257,82,223,160,171,46,5,37,11,2,249,262,65,11,99.5,73.9,9.9,8.6,79,0.48200000000000004,17.9,0.8959999999999999,8.9,2505,2178,-0.01,-0.48,Dallas Stars,5.91,34,1
24,28.4,252,82,207,190,157,38,3,36,13,0,235,244,45,9,99.6,80.85,8.8,9.2,79,0.48200000000000004,15.08,0.903,8.5,2335,2507,0.04,-0.41,Detroit Red Wings,5.5,33,9
25,26.4,233,82,201,172,139,57,3,37,12,6,237,237,53,4,99.4,77.64,9.0,8.5,78,0.47600000000000003,24.46,0.9179999999999999,8.0,2491,2781,0.03,-0.41,Buffalo Sabres,5.34,33,2
26,27.3,235,82,197,177,145,38,8,42,10,2,260,260,59,7,99.8,77.31,9.9,7.6,70,0.42700000000000005,16.17,0.907,8.4,2281,2592,0.01,-0.76,Arizona Coyotes,5.57,30,6
27,28.1,251,82,183,164,130,44,6,40,14,3,261,244,53,12,99.0,79.69,10.0,8.8,70,0.42700000000000005,17.53,0.907,7.9,2279,2440,0.08,-0.67,New Jersey Devils,5.21,28,3
28,28.8,227,82,182,183,144,32,2,43,9,2,223,243,52,6,99.5,76.68,7.9,7.9,69,0.42100000000000004,14.1,0.907,7.8,2273,2605,0.01,-0.73,Vancouver Canucks,5.18,30,4
29,27.6,239,82,166,210,130,30,5,56,4,2,274,278,64,2,97.4,76.64,9.4,8.2,48,0.293,12.55,0.894,7.2,2303,2603,0.05,-1.32,Colorado Avalanche,5.41,22,1
