,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,expected_plsmns,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
0,37,1081,979,47.5,-2.5,-8.9,796,732,47.9,-2.0,67,47,9.5,93.1,102.7,Francois Beauchemin,D,49.5,11,17:19,15:06,188.0,47.8,52.2,Anaheim Ducks
1,36,993,789,44.3,-6.0,-5.2,752,588,43.9,-6.8,59,41,5.7,92.6,98.2,Kevin Bieksa,D,44.9,12,18:01,15:33,147.0,54.0,46.0,Anaheim Ducks
2,23,25,25,50.0,3.5,-0.4,17,21,55.3,10.2,3,0,11.8,100.0,111.8,Joseph Blandisi,C,100.0,1,11:41,11:36,4.0,56.3,43.8,Anaheim Ducks
3,31,39,34,46.6,-2.5,-0.5,27,26,49.1,-1.2,10,0,9.1,90.9,100.0,Jared Boll,RW,80.0,0,4:26,4:22,5.0,40.0,60.0,Anaheim Ducks
4,27,168,181,51.9,-0.9,-0.6,135,145,51.8,-0.4,23,6,2.9,92.2,95.1,J.T. Brown,RW,52.4,6,8:46,8:17,42.0,53.1,46.9,Anaheim Ducks
5,38,105,70,40.0,-11.2,-1.5,81,54,40.0,-11.0,16,5,11.9,90.5,102.4,Jason Chimera,LW,50.0,2,6:59,6:23,18.0,42.1,57.9,Anaheim Ducks
6,30,1093,1035,48.6,0.6,-5.2,822,774,48.5,0.4,80,41,7.9,94.6,102.5,Andrew Cogliano,LW/C,57.8,24,15:12,13:19,303.0,54.7,45.3,Anaheim Ducks
7,33,36,16,30.8,-9.7,-0.2,20,13,39.4,-1.7,2,0,12.5,92.3,104.8,Patrick Eaves,RW,37.5,0,16:28,13:05,8.0,53.3,46.7,Anaheim Ducks
8,21,7,4,36.4,-17.2,-0.5,5,4,44.4,-6.5,1,1,0.0,80.0,80.0,Giovanni Fiore,LW,0.0,0,7:53,6:30,1.0,50.0,50.0,Anaheim Ducks
9,26,1310,1233,48.5,0.3,-1.5,963,926,49.0,0.7,67,47,7.9,92.4,100.3,Cam Fowler,D,44.4,27,24:51,19:46,275.0,53.4,46.6,Anaheim Ducks
10,32,890,989,52.6,4.0,5.9,656,724,52.5,3.5,56,64,12.3,90.7,103.0,Ryan Getzlaf,C,48.3,45,21:26,17:26,242.0,50.5,49.5,Anaheim Ducks
11,27,656,566,46.3,-1.0,-4.1,494,427,46.4,-0.9,66,13,9.2,93.1,102.4,Derek Grant,C,58.0,18,11:06,9:38,112.0,50.9,49.1,Anaheim Ducks
12,27,791,768,49.3,-0.3,-3.2,578,581,50.1,0.7,57,25,10.6,94.2,104.8,Adam Henrique,C,56.3,26,17:35,13:57,183.0,53.3,46.7,Anaheim Ducks
13,29,174,122,41.2,-2.8,-0.8,126,95,43.0,-2.1,16,9,5.5,92.0,97.5,Korbinian Holzer,D,55.6,1,11:37,10:40,18.0,46.2,53.8,Anaheim Ducks
14,22,752,844,52.9,4.5,4.0,572,637,52.7,4.2,66,31,8.8,94.5,103.2,Ondrej Kase,RW,60.9,29,13:55,12:32,238.0,46.1,53.9,Anaheim Ducks
15,37,85,55,39.3,-9.4,-2.1,64,37,36.6,-12.4,12,1,16.7,92.2,108.8,Chris Kelly,C/LW,50.0,0,7:40,7:02,10.0,40.0,60.0,Anaheim Ducks
16,24,10,5,33.3,-10.5,-0.2,7,3,30.0,-15.4,2,0,0.0,100.0,100.0,Nicolas Kerdiles,LW,0.0,0,3:45,3:29,1.0,37.5,62.5,Anaheim Ducks
17,33,679,600,46.9,-4.0,-0.9,489,462,48.6,-2.4,44,21,7.5,91.7,99.3,Ryan Kesler,C,56.9,13,18:02,14:21,137.0,63.2,36.8,Anaheim Ducks
18,24,71,73,50.7,4.3,-1.5,54,57,51.4,5.9,10,3,5.4,82.9,88.3,Kalle Kossila,LW,69.2,4,9:05,8:57,13.0,29.7,70.3,Anaheim Ducks
19,28,39,20,33.9,-6.2,-1.9,31,18,36.7,-3.1,7,0,8.3,95.0,103.3,Mike Liambas,LW,100.0,1,5:17,5:15,3.0,35.3,64.7,Anaheim Ducks
20,24,1163,1249,51.8,4.7,1.8,876,941,51.8,4.7,69,63,10.2,92.0,102.1,Hampus Lindholm,D,47.1,24,22:45,18:31,278.0,53.4,46.6,Anaheim Ducks
21,26,1344,1340,49.9,2.0,-2.7,1009,1030,50.5,2.8,80,60,10.4,94.0,104.4,Josh Manson,D,52.5,48,20:21,17:45,223.0,58.0,42.0,Anaheim Ducks
22,25,219,175,44.4,-0.8,0.1,171,129,43.0,-1.1,14,5,6.4,91.3,97.7,Jaycob Megna,D,36.8,4,15:43,13:29,19.0,55.7,44.3,Anaheim Ducks
23,23,1360,1331,49.5,2.0,-5.7,1024,993,49.2,1.5,80,51,9.2,92.5,101.7,Brandon Montour,D,48.9,20,20:28,16:56,327.0,48.0,52.0,Anaheim Ducks
24,32,1116,1016,47.7,-0.2,-4.0,847,749,46.9,-1.2,71,42,10.9,90.3,101.2,Corey Perry,RW,58.7,18,17:47,15:04,286.0,47.3,52.7,Anaheim Ducks
25,21,299,236,44.1,-4.5,-2.1,221,175,44.2,-4.9,22,14,8.7,95.3,104.0,Marcus Pettersson,D,51.6,2,13:37,12:16,31.0,49.4,50.6,Anaheim Ducks
26,24,1226,1233,50.1,2.5,-0.2,935,907,49.2,1.2,77,53,11.6,90.3,101.9,Rickard Rakell,RW,56.7,32,19:25,16:30,406.0,46.0,54.0,Anaheim Ducks
27,27,223,168,43.0,-2.4,-3.0,156,128,45.1,0.1,27,4,9.0,95.2,104.2,Dennis Rasmussen,C,59.4,9,8:54,7:45,32.0,56.7,43.3,Anaheim Ducks
28,22,968,946,49.4,1.5,-0.9,740,725,49.5,1.6,76,22,7.5,93.5,100.9,Nick Ritchie,LW,51.9,10,13:11,12:23,235.0,46.7,53.3,Anaheim Ducks
29,24,319,250,43.9,-3.2,-3.3,246,184,42.8,-4.4,25,7,8.9,95.1,104.0,Kevin Roy,C,49.1,13,13:39,12:21,53.0,53.0,47.0,Anaheim Ducks
30,26,378,336,47.1,0.4,-2.9,286,256,47.2,0.3,42,15,6.7,92.1,98.8,Logan Shaw,RW,53.6,11,11:30,9:20,110.0,53.5,46.5,Anaheim Ducks
31,27,1166,1117,48.9,0.7,-4.2,854,839,49.6,1.4,77,43,7.8,93.3,101.1,Jakob Silfverberg,LW,53.3,40,17:58,14:30,351.0,60.3,39.7,Anaheim Ducks
32,20,16,11,40.7,-3.4,-0.1,12,7,36.8,-5.9,2,0,0.0,100.0,100.0,Troy Terry,C/RW,100.0,0,10:13,10:04,3.0,28.6,71.4,Anaheim Ducks
33,26,278,202,42.1,-2.9,-6.4,214,144,40.2,-4.4,15,20,9.3,90.6,99.8,Sami Vatanen,D,48.9,2,21:06,16:04,45.0,58.1,41.9,Anaheim Ducks
34,35,797,659,45.3,-2.9,-6.5,600,490,45.0,-3.8,64,17,7.3,92.3,99.6,Antoine Vermette,C,64.5,14,13:45,11:41,141.0,57.5,42.5,Anaheim Ducks
35,26,695,577,45.4,-3.2,-10.0,522,432,45.3,-3.5,64,17,4.8,93.6,98.3,Chris Wagner,C,53.8,12,13:27,10:32,145.0,56.8,43.2,Anaheim Ducks
36,24,107,71,39.9,-14.3,-2.3,81,52,39.1,-15.1,7,5,5.7,95.1,100.8,Andy Welinski,D,42.9,1,16:10,14:03,14.0,50.8,49.2,Anaheim Ducks
37,25,433,375,46.4,-2.8,-5.6,327,261,44.4,-3.2,39,4,8.6,92.5,101.1,Josh Archibald,RW,48.8,7,12:04,11:03,80.0,54.4,45.6,Arizona Coyotes
38,20,17,9,34.6,-16.1,-0.9,15,6,28.6,-19.6,1,1,25.0,83.3,108.3,Kyle Capobianco,D,0.0,1,13:33,13:32,1.0,55.6,44.4,Arizona Coyotes
39,19,941,855,47.6,-1.3,-2.2,708,626,46.9,0.0,50,27,8.3,93.3,101.6,Jakob Chychrun,D,43.4,19,20:14,18:01,235.0,44.5,55.5,Arizona Coyotes
40,25,89,78,46.7,-4.8,-1.1,66,61,48.0,-2.0,5,4,9.1,89.4,98.5,Adam Clendening,D,36.4,2,15:56,15:27,11.0,54.5,45.5,Arizona Coyotes
41,27,1168,1021,46.6,-1.2,-7.5,900,708,44.0,-3.0,73,32,9.4,93.1,102.5,Kevin Connauton,D,45.1,13,15:11,14:22,226.0,52.5,47.5,Arizona Coyotes
