,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,ties,total_goals_per_game,wins
0,28.4,363,82,270,122,179,80,11,16,4,342,192,59,11,,82.75,13.7,14.3,118,0.72,22.04,0.907,11.3,2395,2059,0.0,0.95,Colorado Avalanche*,10,5.63,52
1,30.1,384,82,253,140,158,85,10,20,4,385,202,55,7,,85.71,13.0,12.8,111,0.677,22.14,0.909,9.5,2650,2221,0.01,0.63,Detroit Red Wings*,9,5.55,49
2,28.5,310,82,295,140,215,71,9,19,3,320,195,49,6,,84.69,14.9,13.6,111,0.677,22.9,0.904,11.4,2588,2024,-0.12,1.1,New Jersey Devils*,12,5.98,48
3,25.8,381,82,274,151,193,71,10,21,4,361,205,49,5,,86.43,12.8,14.1,109,0.665,18.64,0.9079999999999999,11.1,2476,2235,-0.1,0.74,Ottawa Senators*,9,5.84,48
4,29.4,367,82,241,131,162,72,7,24,2,355,187,49,7,,86.2,12.6,13.5,106,0.6459999999999999,19.62,0.9079999999999999,11.5,2100,2043,0.02,0.68,Dallas Stars*,8,5.22,48
5,28.5,385,82,249,131,162,72,15,22,5,389,195,57,7,,85.35,16.2,16.4,103,0.628,18.7,0.899,10.0,2494,1933,0.01,0.67,St. Louis Blues*,12,5.41,43
6,28.1,350,82,240,143,174,55,11,25,3,314,207,55,9,,82.48,14.3,16.1,100,0.61,15.71,0.903,9.8,2452,2144,-0.07,0.33,Philadelphia Flyers*,11,5.45,43
7,28.1,373,82,218,139,152,60,6,30,1,334,184,40,5,,88.02,15.1,15.4,98,0.598,16.09,0.9159999999999999,9.9,2204,2195,-0.07,0.35,Buffalo Sabres*,5,4.9,46
8,28.0,375,82,281,167,198,76,7,28,3,405,256,78,11,,80.74,19.2,18.7,96,0.585,20.27,0.893,11.7,2394,2397,-0.07,0.23,Pittsburgh Penguins*,9,6.55,42
9,30.1,353,82,233,142,152,75,6,27,4,391,211,62,7,,84.14,13.8,12.8,96,0.585,21.25,0.907,9.9,2348,2273,-0.1,0.16,Washington Capitals*,10,5.41,41
10,26.8,406,82,217,121,152,57,8,27,3,441,192,61,10,,86.17,16.5,16.8,95,0.579,14.04,0.9109999999999999,9.6,2266,2169,0.06,0.36,San Jose Sharks*,12,4.99,40
11,26.2,398,82,243,156,171,59,13,28,3,382,222,62,4,,83.77,15.6,15.5,93,0.5670000000000001,14.82,0.8959999999999999,11.3,2145,2139,0.07,0.32,Edmonton Oilers*,12,5.67,39
12,28.5,367,82,252,150,167,71,14,28,3,382,228,72,6,,81.15,14.3,14.4,92,0.561,19.35,0.894,11.0,2288,2160,0.03,0.32,Los Angeles Kings*,13,5.85,38
13,29.4,355,82,232,143,173,57,2,29,5,366,207,55,9,,84.97,17.4,15.1,90,0.5489999999999999,16.06,0.9079999999999999,10.2,2276,2244,-0.05,0.25,Toronto Maple Leafs*,11,5.35,37
14,26.7,416,82,239,153,156,71,12,28,7,387,238,74,11,,80.88,13.4,15.6,90,0.5489999999999999,17.07,0.888,9.8,2434,2121,0.07,0.08,Vancouver Canucks*,11,5.82,36
15,28.5,343,82,214,142,148,57,9,27,3,432,212,64,6,,85.19,16.2,12.4,90,0.5489999999999999,16.62,0.9129999999999999,10.4,2055,2430,0.05,0.07,Phoenix Coyotes,17,5.2,35
16,28.7,382,82,212,164,134,72,6,32,3,351,225,45,16,,87.18,13.1,13.7,88,0.537,18.85,0.898,9.6,2217,2206,-0.08,-0.24,Carolina Hurricanes*,9,5.33,38
17,26.9,390,82,227,177,155,64,8,30,8,377,249,65,7,,82.76,16.0,16.7,88,0.537,16.41,0.8859999999999999,9.6,2359,2190,0.0,-0.27,Boston Bruins,8,5.8,36
18,27.0,361,82,186,147,128,51,7,36,3,331,200,49,4,,85.2,11.4,12.2,80,0.488,14.13,0.915,8.5,2182,2347,0.06,-0.11,Nashville Predators,9,4.71,34
19,27.7,435,82,197,149,129,65,3,36,4,378,236,76,11,,79.89,16.6,18.8,73,0.445,14.94,0.894,8.8,2230,2224,0.11,-0.37,Calgary Flames,15,5.28,27
20,29.5,363,82,250,192,169,65,16,43,1,400,290,86,12,,78.5,18.3,16.8,72,0.439,17.91,0.887,10.7,2345,2575,-0.04,-0.53,New York Rangers,5,6.59,33
21,27.8,318,82,210,182,154,41,15,40,5,323,246,52,12,,83.9,11.9,11.9,71,0.433,12.89,0.888,9.7,2160,2190,0.08,-0.36,Chicago Blackhawks,8,5.56,29
22,28.2,381,82,190,155,131,56,3,39,6,363,233,70,8,,80.72,14.8,14.9,71,0.433,14.7,0.9059999999999999,9.1,2082,2475,0.08,-0.44,Columbus Blue Jackets,9,5.16,28
23,26.8,421,82,206,169,132,68,5,40,6,337,232,60,3,,82.2,12.2,15.7,70,0.42700000000000005,16.15,0.899,9.5,2147,2296,-0.03,-0.35,Montreal Canadiens,8,5.34,28
24,27.4,374,82,168,139,119,36,13,39,5,373,210,57,14,,84.72,14.3,13.8,68,0.415,9.63,0.909,8.3,2020,2307,0.09,-0.42,Minnesota Wild,13,4.61,25
