,Adjusted Cap Hit,Age,Base Salary,Cap Percentage,Performance Bonus,Player,Position,Signing Bonus,Team,Total Cap Hit,Total Salary
0,"$5,325,000 ",27,"$3,585,366",7.94,-,Ryan Getzlaf,C,-,Anaheim Ducks 2012-2013 Salary Cap ,"$5,325,000 ","$3,585,366"
1,"$5,325,000 ",27,"$3,146,341",7.94,-,Corey Perry,RW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$5,325,000 ","$3,146,341"
2,"$5,100,000 ",25,"$3,256,098",7.60,-,Bobby Ryan,RW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$5,100,000 ","$3,256,098"
3,"$4,500,000 ",30,"$3,220,512",6.71,-,Jonas Hiller,G,"$500,000",Anaheim Ducks 2012-2013 Salary Cap ,"$4,500,000 ","$3,720,512"
4,"$4,500,000 ",42,"$2,634,146",6.71,-,Teemu Selanne,RW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$4,500,000 ",-
5,"$3,800,000 ",37,"$1,756,098",5.67,-,Saku Koivu,C,-,Anaheim Ducks 2012-2013 Salary Cap ,"$3,800,000 ","$1,756,098"
6,"$3,666,667 ",36,"$2,341,463",5.47,-,Sheldon Souray,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$3,666,667 ","$2,341,463"
7,"$3,500,000 ",32,"$2,048,780",5.22,-,Bryan Allen,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$3,500,000 ","$2,048,780"
8,"$3,500,000 ",32,"$2,048,780",5.22,-,Francois Beauchemin,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$3,500,000 ","$2,048,780"
9,"$3,000,000 ",35,"$1,756,098",4.47,-,Toni Lydman,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$3,000,000 ",-
10,"$2,390,000 ",25,"$1,375,610",3.56,-,Andrew Cogliano,LW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$2,390,000 ","$1,375,610"
11,"$2,175,000 ",22,"$1,170,732",3.24,-,Luca Sbisa,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$2,175,000 ","$1,170,732"
12,"$1,800,000 ",27,"$1,053,659",2.68,-,Daniel Winnik,C,-,Anaheim Ducks 2012-2013 Salary Cap ,"$1,800,000 ","$1,053,659"
13,"$1,775,000 ",22,"$670,269",2.65,"$850,000",Frederik Andersen,G,"$92,500",Anaheim Ducks 2012-2013 Salary Cap ,"$1,775,000 ","$762,769"
14,"$1,400,000 ",20,"$652,153",2.09,-,Cam Fowler,D,"$90,000",Anaheim Ducks 2012-2013 Salary Cap ,"$1,400,000 ","$742,153"
15,"$1,350,000 ",22,"$493,902",2.01,-,Antoine Laganiere,C,"$92,500",Anaheim Ducks 2012-2013 Salary Cap ,"$1,350,000 ",-
16,"$1,325,000 ",21,"$422,692",1.98,"$910,000",Sami Vatanen,D,"$90,000",Anaheim Ducks 2012-2013 Salary Cap ,"$1,325,000 ","$512,692"
17,"$1,100,000 ",30,"$643,902",1.64,-,David Steckel,LW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$1,100,000 ",-
18,"$1,025,000 ",21,"$652,153",1.53,"$25,000",Kyle Palmieri,RW,"$90,000",Anaheim Ducks 2012-2013 Salary Cap ,"$1,025,000 ","$742,153"
19,"$1,000,000 ",30,"$1,000,000",1.49,-,Viktor Fasth,G,-,Anaheim Ducks 2012-2013 Salary Cap ,"$1,000,000 ","$1,000,000"
20,"$900,000 ",21,"$428,084",1.34,-,Mat Clark,D,"$90,000",Anaheim Ducks 2012-2013 Salary Cap ,"$900,000 ",-
21,"$894,166 ",18,-,1.33,-,Hampus Lindholm,D,"$92,500",Anaheim Ducks 2012-2013 Salary Cap ,"$894,166 ","$92,500"
22,"$870,000 ",20,"$810,000",1.30,-,Emerson Etem,LW,"$90,000",Anaheim Ducks 2012-2013 Salary Cap ,"$870,000 ","$900,000"
23,"$737,500 ",24,"$497,561",1.10,-,Matt Beleskey,LW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$737,500 ","$497,561"
24,"$700,000 ",24,"$409,756",1.04,-,Nick Bonino,C,-,Anaheim Ducks 2012-2013 Salary Cap ,"$700,000 ","$409,756"
25,"$675,000 ",35,"$370,426",1.01,-,Radek Dvorak,RW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$675,000 ","$370,426"
26,"$637,500 ",28,"$365,854",0.95,-,Brad Staubitz,RW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$637,500 ",-
27,"$600,000 ",28,"$351,220",0.89,-,Jordan Hendry,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$600,000 ",-
28,"$600,000 ",25,"$351,220",0.89,-,Harry Zolnierczyk,LW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$600,000 ",-
29,"$550,000 ",27,"$550,000",0.82,-,Kyle Wilson,C,-,Anaheim Ducks 2012-2013 Salary Cap ,"$550,000 ",-
30,"$550,000 ",27,"$321,951",0.82,-,Pierre-Luc Letourneau-Leblond,LW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$550,000 ",-
31,"$550,000 ",24,"$321,951",0.82,-,Patrick Maroon,LW,-,Anaheim Ducks 2012-2013 Salary Cap ,"$550,000 ","$321,951"
32,"$525,000 ",29,"$307,317",0.78,-,Nate Guenin,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$525,000 ","$307,317"
33,"$525,000 ",28,"$307,317",0.78,-,Ben Lovejoy,D,-,Anaheim Ducks 2012-2013 Salary Cap ,"$525,000 ","$307,317"
34,"$193,333 ",20,"$444,878",0.29,"$140,000",Devante Smith-Pelly,RW,"$90,000",Anaheim Ducks 2012-2013 Salary Cap ,"$193,333 ","$534,878"
35,"$6,916,667 ",35,"$6,000,000",10.00,-,Zdeno Chara,D,-,Boston Bruins 2012-2013 Salary Cap ,"$6,916,667 ","$6,000,000"
36,"$5,250,000 ",26,"$3,073,171",7.59,-,David Krejci,C,-,Boston Bruins 2012-2013 Salary Cap ,"$5,250,000 ","$3,073,171"
37,"$5,000,000 ",27,"$1,039,153",7.23,-,Patrice Bergeron,C,"$1,000,000",Boston Bruins 2012-2013 Salary Cap ,"$5,000,000 ","$2,039,153"
38,"$4,550,000 ",40,"$4,000,000",6.58,"$50,000",Jaromir Jagr,RW,"$500,000",Boston Bruins 2012-2013 Salary Cap ,"$4,550,000 ","$4,550,000"
39,"$4,083,333 ",24,"$2,487,805",5.91,-,Milan Lucic,LW,-,Boston Bruins 2012-2013 Salary Cap ,"$4,083,333 ","$2,487,805"
40,"$4,027,143 ",35,"$6,500,000",5.82,-,Marc Savard,C,-,Boston Bruins 2012-2013 Salary Cap ,"$4,027,143 ","$6,500,000"
41,"$4,000,000 ",27,"$3,219,512",5.78,-,Nathan Horton,RW,-,Boston Bruins 2012-2013 Salary Cap ,"$4,000,000 ","$3,219,512"
42,"$3,500,000 ",25,"$2,048,780",5.06,-,Tuukka Rask,G,-,Boston Bruins 2012-2013 Salary Cap ,"$3,500,000 ","$2,048,780"
43,"$3,366,667 ",28,"$1,814,634",4.87,-,Johnny Boychuk,D,-,Boston Bruins 2012-2013 Salary Cap ,"$3,366,667 ","$1,814,634"
44,"$3,250,000 ",31,"$3,000,000",4.70,-,Dennis Seidenberg,D,"$250,000",Boston Bruins 2012-2013 Salary Cap ,"$3,250,000 ","$3,250,000"
45,"$3,250,000 ",30,"$1,756,098",4.70,-,Rich Peverley,RW,-,Boston Bruins 2012-2013 Salary Cap ,"$3,250,000 ","$1,756,098"
46,"$3,000,000 ",31,"$1,463,415",4.34,-,Chris Kelly,C,-,Boston Bruins 2012-2013 Salary Cap ,"$3,000,000 ","$1,463,415"
47,"$2,500,000 ",24,"$1,756,098",3.62,-,Brad Marchand,LW,-,Boston Bruins 2012-2013 Salary Cap ,"$2,500,000 ","$1,756,098"
48,"$2,250,000 ",33,"$1,317,073",3.25,-,Andrew Ference,D,-,Boston Bruins 2012-2013 Salary Cap ,"$2,250,000 ","$1,317,073"
49,"$1,600,000 ",28,"$819,512",2.31,-,Gregory Campbell,C,-,Boston Bruins 2012-2013 Salary Cap ,"$1,600,000 ","$819,512"
50,"$1,566,667 ",25,"$819,512",2.27,-,Adam McQuaid,D,-,Boston Bruins 2012-2013 Salary Cap ,"$1,566,667 ","$819,512"
51,"$1,300,000 ",28,"$760,976",1.88,-,Daniel Paille,LW,-,Boston Bruins 2012-2013 Salary Cap ,"$1,300,000 ","$760,976"
52,"$1,100,000 ",35,"$643,902",1.59,-,Shawn Thornton,RW,-,Boston Bruins 2012-2013 Salary Cap ,"$1,100,000 ","$643,902"
53,"$1,008,333 ",26,"$525,000",1.46,-,Carl Soderberg,C,"$500,000",Boston Bruins 2012-2013 Salary Cap ,"$1,008,333 ","$1,025,000"
