,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
0,2.91,31,103,50,50,7.7,120,2.48,-3.85,13,2909,Jonas Hiller,.540,27,11,.911,1228,1348,5,Anaheim Ducks,7,29
1,2.68,24,89,28,24,5.6,60,2.29,7.47,5,1569,Frederik Andersen,.500,12,0,.923,723,783,0,Anaheim Ducks,0,20
2,1.66,20,,3,3,0.9,4,1.33,,0,181,John Gibson,1.000,3,0,.954,83,87,1,Anaheim Ducks,0,3
3,3.54,31,,5,5,0.3,15,2.95,,2,305,Viktor Fasth,.200,1,1,.885,116,131,0,Anaheim Ducks,1,2
4,3.11,31,99,62,61,11.6,159,2.64,2.22,21,3610,Mike Smith,.574,35,5,.915,1712,1871,3,Phoenix Coyotes,10,27
5,2.70,28,93,25,20,4.3,50,2.29,3.94,8,1312,Thomas Greiss,.600,12,2,.920,576,626,2,Phoenix Coyotes,5,10
6,4.08,21,,1,1,0.2,3,3.06,,1,59,Mark Visentin,.000,0,0,.906,29,32,0,Phoenix Coyotes,0,0
7,2.37,26,81,58,58,13.1,115,2.04,26.40,15,3386,Tuukka Rask,.672,39,8,.930,1526,1641,7,Boston Bruins,6,36
8,2.46,27,87,27,23,5.2,53,2.10,8.01,4,1511,Chad Johnson,.652,15,2,.925,655,708,2,Boston Bruins,3,17
9,1.97,24,,1,1,0.3,2,1.97,,0,61,Niklas Svedberg,1.000,1,0,.943,33,35,0,Boston Bruins,0,1
10,3.20,33,89,40,40,10.2,108,2.72,13.58,22,2384,Ryan Miller,.675,27,4,.923,1303,1411,0,Buffalo Sabres,3,15
11,3.32,25,103,28,26,4.8,74,2.82,-2.14,17,1574,Jhonas Enroth,.538,14,3,.911,760,834,0,Buffalo Sabres,5,4
12,3.47,22,,7,5,1.0,18,2.97,,4,363,Nathan Lieuwen,.400,2,0,.906,173,191,0,Buffalo Sabres,0,1
13,3.66,23,,8,8,1.3,22,3.10,,6,426,Matt Hackett,.500,4,1,.908,217,239,0,Buffalo Sabres,1,1
14,3.92,23,,2,1,0.0,4,3.14,,0,77,Connor Knapp,.000,0,0,.875,28,32,0,Buffalo Sabres,1,0
15,3.08,25,,2,2,1.0,5,2.56,,2,117,Michal Neuvirth,1.000,2,0,.949,93,98,0,Buffalo Sabres,0,0
16,3.12,27,103,40,37,6.2,97,2.65,-2.99,15,2194,Karri Ramo,.514,19,5,.911,994,1091,2,Calgary Flames,4,17
17,3.46,27,119,29,27,3.2,81,2.95,-13.10,17,1648,Reto Berra,.519,14,5,.897,707,788,0,Calgary Flames,2,9
18,3.41,33,,11,9,0.8,29,2.91,,4,599,Joey MacDonald,.222,2,2,.890,235,264,0,Calgary Flames,1,5
19,2.99,22,,9,9,0.6,21,2.52,,4,501,Joni Ortio,.333,3,1,.891,172,193,0,Calgary Flames,0,4
20,2.71,27,86,36,34,8.0,80,2.30,12.72,14,2084,Anton Khudobin,.647,22,2,.926,996,1076,1,Carolina Hurricanes,1,19
21,3.61,29,118,30,28,3.4,84,3.06,-13.00,12,1645,Cam Ward,.393,11,6,.898,740,824,0,Carolina Hurricanes,6,10
22,2.94,27,95,21,20,4.1,51,2.50,2.94,9,1225,Justin Peters,.550,11,3,.919,575,626,1,Carolina Hurricanes,4,7
23,2.65,29,97,59,56,9.8,128,2.26,4.09,16,3395,Corey Crawford,.554,31,6,.917,1405,1533,2,Chicago Blackhawks,10,32
24,3.18,24,120,25,22,2.4,63,2.71,-10.44,5,1397,Antti Raanta,.545,12,6,.897,547,610,1,Chicago Blackhawks,4,13
25,5.73,41,,4,4,-0.5,14,5.01,,0,168,Nikolai Khabibulin,.250,1,3,.811,60,74,0,Chicago Blackhawks,1,1
26,6.00,21,,1,0,-0.1,2,6.00,,,20,Kent Simpson,,0,0,.714,5,7,0,Chicago Blackhawks,,
27,2.82,25,84,63,60,15.5,146,2.41,27.45,14,3640,Semyon Varlamov,.733,44,4,.927,1867,2013,2,Colorado Avalanche,6,41
28,3.07,36,101,22,19,3.6,53,2.62,-0.61,6,1212,Jean-Sebastien Giguere,.632,12,4,.913,555,608,2,Colorado Avalanche,1,11
29,6.00,21,,1,1,-0.1,3,4.50,,1,40,Sami Aittokallio,.000,0,1,.833,15,18,0,Colorado Avalanche,0,0
30,6.68,27,,2,2,-0.3,7,5.85,,1,72,Reto Berra,.000,0,2,.781,25,32,0,Colorado Avalanche,1,0
31,2.80,25,89,58,57,12.1,131,2.38,15.40,20,3299,Sergei Bobrovsky,.614,35,5,.923,1568,1699,5,Columbus Blue Jackets,5,32
32,3.16,30,106,28,21,3.8,64,2.70,-3.43,11,1423,Curtis McElhinney,.571,12,3,.909,639,703,2,Columbus Blue Jackets,1,10
33,3.56,30,,4,3,0.5,11,3.01,,1,219,Mike McKenna,.000,0,0,.904,103,114,0,Columbus Blue Jackets,1,1
34,2.82,30,94,65,64,12.6,153,2.41,9.68,20,3804,Kari Lehtonen,.563,36,10,.919,1735,1888,5,Dallas Stars,10,33
35,3.56,33,116,14,11,1.5,35,3.04,-4.93,6,690,Dan Ellis,.364,4,2,.900,314,349,1,Dallas Stars,0,5
36,3.47,39,,8,5,0.9,18,2.97,,4,364,Tim Thomas,.400,2,1,.902,166,184,0,Dallas Stars,1,2
37,7.00,22,,1,1,0.0,6,6.00,,1,60,Jack Campbell,.000,0,0,.872,41,47,0,Dallas Stars,0,0
38,6.08,29,,1,0,-0.1,3,4.56,,,39,Cristopher Nilstorp,,0,0,.824,14,17,0,Dallas Stars,,
39,3.12,29,104,51,50,8.3,133,2.66,-5.30,19,3004,Jimmy Howard,.500,25,7,.910,1349,1482,2,Detroit Red Wings,11,21
40,3.10,29,107,27,26,3.9,68,2.63,-4.67,5,1551,Jonas Gustavsson,.500,13,6,.907,667,735,0,Detroit Red Wings,4,16
41,2.01,21,,9,6,1.4,13,1.74,,4,449,Petr Mrazek,.667,4,1,.927,165,178,2,Detroit Red Wings,0,2
42,3.97,27,123,32,29,3.2,94,3.36,-17.74,17,1678,Devan Dubnyk,.379,11,7,.894,791,885,2,Edmonton Oilers,2,11
43,3.55,27,97,21,20,4.7,62,3.01,1.85,11,1235,Ben Scrivens,.600,12,3,.916,679,741,1,Edmonton Oilers,0,9
44,3.54,33,106,20,19,3.4,57,3.01,-3.40,8,1135,Ilya Bryzgalov,.526,10,2,.908,565,622,1,Edmonton Oilers,5,5
45,3.18,31,,7,7,1.3,18,2.73,,3,396,Viktor Fasth,.571,4,1,.914,191,209,0,Edmonton Oilers,1,3
46,3.79,34,,7,4,0.1,19,3.27,,3,348,Jason LaBarbera,.000,0,3,.870,127,146,0,Edmonton Oilers,0,1
47,3.46,26,,3,3,0.5,7,3.03,,2,139,Richard Bachman,.333,1,2,.916,76,83,0,Edmonton Oilers,1,0
48,3.37,39,106,40,40,6.6,110,2.87,-6.08,20,2299,Tim Thomas,.575,23,6,.909,1096,1206,0,Florida Panthers,3,16
49,3.61,36,120,17,14,1.8,47,3.08,-7.88,7,914,Scott Clemmensen,.429,6,3,.896,407,454,0,Florida Panthers,1,6
50,2.91,34,89,14,14,3.1,33,2.46,4.22,7,804,Roberto Luongo,.500,7,0,.924,399,432,1,Florida Panthers,1,6
