,average_age,chances_pp,games,goals,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team,total_goals_per_game,wins
0,27.4,245,82,215,56,7,25,11,290,188,37,3,100.3,87.24,103,0.628,22.86,0.919,8.7,2483,2253,-0.05,0.27,Anaheim Ducks,5.0,46
1,27.6,300,82,208,53,4,39,8,304,244,69,14,99.9,77.3,78,0.47600000000000003,17.67,0.909,9.2,2265,2526,0.01,-0.43,Arizona Coyotes,5.54,35
2,28.8,234,82,236,48,9,31,9,270,228,48,4,100.0,82.22,93,0.5670000000000001,20.51,0.914,9.0,2620,2476,-0.02,0.11,Boston Bruins,5.73,42
3,26.2,254,82,199,48,6,36,11,218,215,38,6,99.8,82.57,81,0.494,18.9,0.919,8.2,2418,2499,0.01,-0.25,Buffalo Sabres,5.16,35
4,27.7,270,82,229,46,10,40,7,234,257,57,7,99.1,75.64,77,0.47,17.04,0.898,9.5,2398,2361,-0.01,-0.36,Calgary Flames,5.99,35
5,27.0,238,82,196,40,3,31,16,204,221,32,5,98.6,84.31,86,0.524,16.81,0.9059999999999999,8.0,2451,2253,0.03,-0.31,Carolina Hurricanes,5.17,35
6,28.6,252,82,234,57,10,26,9,233,207,46,3,101.0,80.26,103,0.628,22.62,0.9209999999999999,9.4,2498,2519,0.0,0.32,Chicago Blackhawks,5.41,47
7,28.3,266,82,212,48,7,39,4,258,240,51,9,100.1,80.23,82,0.5,18.05,0.9159999999999999,9.0,2348,2630,0.03,-0.26,Colorado Avalanche,5.56,39
8,26.5,248,82,213,43,3,40,8,279,248,53,8,99.4,81.0,76,0.46299999999999997,17.34,0.909,8.9,2387,2532,0.03,-0.38,Columbus Blue Jackets,5.74,34
9,28.9,262,82,265,58,10,23,9,248,228,44,15,100.5,82.26,109,0.665,22.14,0.9059999999999999,10.1,2624,2367,-0.01,0.45,Dallas Stars,6.06,50
10,28.7,266,82,209,50,2,30,11,271,219,50,4,99.8,81.55,93,0.5670000000000001,18.8,0.915,8.6,2432,2427,0.0,-0.16,Detroit Red Wings,5.3,41
11,26.4,237,82,199,43,5,43,8,254,242,49,6,99.1,80.71,70,0.42700000000000005,18.14,0.91,8.3,2386,2535,0.0,-0.51,Edmonton Oilers,5.46,31
12,29.2,278,82,232,47,5,26,9,268,200,55,5,101.4,79.48,103,0.628,16.91,0.9209999999999999,9.8,2358,2409,-0.02,0.42,Florida Panthers,5.39,47
13,28.3,235,82,223,47,5,28,6,285,192,53,3,100.0,81.4,102,0.622,20.0,0.9179999999999999,8.5,2625,2246,-0.04,0.32,Los Angeles Kings,5.12,48
14,28.0,259,82,213,48,7,33,11,204,204,45,6,100.4,77.94,87,0.53,18.53,0.917,9.0,2374,2336,0.01,0.13,Minnesota Wild,5.15,38
15,28.0,259,82,216,42,8,38,6,254,233,46,11,99.2,81.89,82,0.5,16.22,0.9079999999999999,8.6,2504,2396,0.0,-0.18,Montreal Canadiens,5.57,38
16,28.4,259,82,224,51,7,27,14,245,213,46,2,99.7,81.22,96,0.585,19.69,0.909,8.9,2507,2231,0.01,0.17,Nashville Predators,5.4,41
17,27.9,256,82,182,51,5,36,8,264,202,45,8,100.4,82.95,84,0.512,19.92,0.919,9.1,2003,2336,0.02,-0.28,New Jersey Devils,4.78,38
18,27.9,229,82,227,43,7,27,10,232,211,36,6,100.9,84.48,100,0.61,18.78,0.92,9.4,2412,2484,0.0,0.19,New York Islanders,5.46,45
19,29.6,226,82,233,42,3,27,9,243,215,53,5,101.3,78.19,101,0.616,18.58,0.919,10.0,2336,2480,0.01,0.24,New York Rangers,5.52,46
20,27.0,239,82,230,38,17,35,9,253,241,61,3,100.8,75.89,85,0.518,15.9,0.9159999999999999,9.9,2325,2672,0.01,-0.13,Ottawa Senators,5.89,38
21,28.1,280,82,211,53,3,27,14,262,210,51,8,100.1,80.53,96,0.585,18.93,0.92,8.3,2540,2510,0.02,-0.03,Philadelphia Flyers,5.27,41
22,29.0,261,82,241,48,11,26,8,257,199,40,5,100.7,84.44,104,0.634,18.39,0.9209999999999999,8.9,2722,2428,-0.01,0.5,Pittsburgh Penguins,5.46,48
23,29.1,275,82,237,62,6,30,6,236,207,46,7,100.4,80.51,98,0.598,22.55,0.915,9.5,2491,2227,-0.05,0.33,San Jose Sharks,5.5,46
24,28.0,237,82,219,51,4,24,9,276,197,41,5,100.7,85.14,107,0.652,21.52,0.924,8.9,2474,2427,0.0,0.28,St. Louis Blues,5.18,49
25,27.3,279,82,224,44,7,31,5,257,198,41,7,100.8,84.05,97,0.591,15.77,0.9229999999999999,9.3,2402,2350,-0.02,0.3,Tampa Bay Lightning,5.22,46
26,27.4,259,82,192,40,3,42,11,272,240,50,8,98.5,81.62,69,0.42100000000000004,15.44,0.909,7.6,2515,2490,0.03,-0.56,Toronto Maple Leafs,5.41,29
27,28.9,247,82,186,39,4,38,13,249,239,47,8,99.3,81.12,75,0.457,15.79,0.9159999999999999,8.0,2311,2653,0.02,-0.62,Vancouver Canucks,5.29,31
28,27.9,251,82,248,55,2,18,8,256,191,38,5,101.5,85.16,120,0.732,21.91,0.9209999999999999,9.9,2510,2325,-0.02,0.7,Washington Capitals,5.43,56
29,26.8,257,82,212,38,10,39,8,282,236,61,4,99.2,78.37,78,0.47600000000000003,14.79,0.909,8.7,2427,2406,0.03,-0.26,Winnipeg Jets,5.54,35
